column,type,description,unit,range,missing_value_policy
Landmark_211_X,float,Face/Iris landmark 211 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_211_Y,float,Face/Iris landmark 211 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_211_Z,float,"Face/Iris landmark 211 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_212_X,float,Face/Iris landmark 212 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_212_Y,float,Face/Iris landmark 212 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_212_Z,float,"Face/Iris landmark 212 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_213_X,float,Face/Iris landmark 213 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_213_Y,float,Face/Iris landmark 213 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_213_Z,float,"Face/Iris landmark 213 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_214_X,float,Face/Iris landmark 214 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_214_Y,float,Face/Iris landmark 214 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_214_Z,float,"Face/Iris landmark 214 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_215_X,float,Face/Iris landmark 215 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_215_Y,float,Face/Iris landmark 215 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_215_Z,float,"Face/Iris landmark 215 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_216_X,float,Face/Iris landmark 216 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_216_Y,float,Face/Iris landmark 216 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_216_Z,float,"Face/Iris landmark 216 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_217_X,float,Face/Iris landmark 217 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_217_Y,float,Face/Iris landmark 217 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_217_Z,float,"Face/Iris landmark 217 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_218_X,float,Face/Iris landmark 218 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_218_Y,float,Face/Iris landmark 218 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_218_Z,float,"Face/Iris landmark 218 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_219_X,float,Face/Iris landmark 219 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_219_Y,float,Face/Iris landmark 219 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_219_Z,float,"Face/Iris landmark 219 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_220_X,float,Face/Iris landmark 220 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_220_Y,float,Face/Iris landmark 220 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_220_Z,float,"Face/Iris landmark 220 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_221_X,float,Face/Iris landmark 221 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_221_Y,float,Face/Iris landmark 221 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_221_Z,float,"Face/Iris landmark 221 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_222_X,float,Face/Iris landmark 222 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_222_Y,float,Face/Iris landmark 222 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_222_Z,float,"Face/Iris landmark 222 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_223_X,float,Face/Iris landmark 223 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_223_Y,float,Face/Iris landmark 223 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_223_Z,float,"Face/Iris landmark 223 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_224_X,float,Face/Iris landmark 224 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_224_Y,float,Face/Iris landmark 224 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_224_Z,float,"Face/Iris landmark 224 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_225_X,float,Face/Iris landmark 225 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_225_Y,float,Face/Iris landmark 225 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_225_Z,float,"Face/Iris landmark 225 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_226_X,float,Face/Iris landmark 226 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_226_Y,float,Face/Iris landmark 226 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_226_Z,float,"Face/Iris landmark 226 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_227_X,float,Face/Iris landmark 227 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_227_Y,float,Face/Iris landmark 227 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_227_Z,float,"Face/Iris landmark 227 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_228_X,float,Face/Iris landmark 228 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_228_Y,float,Face/Iris landmark 228 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_228_Z,float,"Face/Iris landmark 228 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_229_X,float,Face/Iris landmark 229 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_229_Y,float,Face/Iris landmark 229 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_229_Z,float,"Face/Iris landmark 229 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_230_X,float,Face/Iris landmark 230 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_230_Y,float,Face/Iris landmark 230 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_230_Z,float,"Face/Iris landmark 230 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_231_X,float,Face/Iris landmark 231 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_231_Y,float,Face/Iris landmark 231 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_231_Z,float,"Face/Iris landmark 231 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_232_X,float,Face/Iris landmark 232 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_232_Y,float,Face/Iris landmark 232 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_232_Z,float,"Face/Iris landmark 232 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_233_X,float,Face/Iris landmark 233 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_233_Y,float,Face/Iris landmark 233 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_233_Z,float,"Face/Iris landmark 233 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_234_X,float,Face/Iris landmark 234 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_234_Y,float,Face/Iris landmark 234 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_234_Z,float,"Face/Iris landmark 234 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_235_X,float,Face/Iris landmark 235 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_235_Y,float,Face/Iris landmark 235 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_235_Z,float,"Face/Iris landmark 235 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_236_X,float,Face/Iris landmark 236 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_236_Y,float,Face/Iris landmark 236 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_236_Z,float,"Face/Iris landmark 236 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_237_X,float,Face/Iris landmark 237 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_237_Y,float,Face/Iris landmark 237 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_237_Z,float,"Face/Iris landmark 237 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_238_X,float,Face/Iris landmark 238 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_238_Y,float,Face/Iris landmark 238 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_238_Z,float,"Face/Iris landmark 238 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_239_X,float,Face/Iris landmark 239 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_239_Y,float,Face/Iris landmark 239 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_239_Z,float,"Face/Iris landmark 239 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_240_X,float,Face/Iris landmark 240 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_240_Y,float,Face/Iris landmark 240 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_240_Z,float,"Face/Iris landmark 240 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_241_X,float,Face/Iris landmark 241 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_241_Y,float,Face/Iris landmark 241 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_241_Z,float,"Face/Iris landmark 241 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_242_X,float,Face/Iris landmark 242 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_242_Y,float,Face/Iris landmark 242 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_242_Z,float,"Face/Iris landmark 242 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_243_X,float,Face/Iris landmark 243 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_243_Y,float,Face/Iris landmark 243 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_243_Z,float,"Face/Iris landmark 243 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_244_X,float,Face/Iris landmark 244 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_244_Y,float,Face/Iris landmark 244 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_244_Z,float,"Face/Iris landmark 244 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_245_X,float,Face/Iris landmark 245 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_245_Y,float,Face/Iris landmark 245 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_245_Z,float,"Face/Iris landmark 245 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_246_X,float,Face/Iris landmark 246 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_246_Y,float,Face/Iris landmark 246 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_246_Z,float,"Face/Iris landmark 246 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_247_X,float,Face/Iris landmark 247 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_247_Y,float,Face/Iris landmark 247 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_247_Z,float,"Face/Iris landmark 247 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_248_X,float,Face/Iris landmark 248 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_248_Y,float,Face/Iris landmark 248 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_248_Z,float,"Face/Iris landmark 248 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_249_X,float,Face/Iris landmark 249 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_249_Y,float,Face/Iris landmark 249 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_249_Z,float,"Face/Iris landmark 249 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_250_X,float,Face/Iris landmark 250 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_250_Y,float,Face/Iris landmark 250 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_250_Z,float,"Face/Iris landmark 250 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_251_X,float,Face/Iris landmark 251 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_251_Y,float,Face/Iris landmark 251 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_251_Z,float,"Face/Iris landmark 251 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_252_X,float,Face/Iris landmark 252 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_252_Y,float,Face/Iris landmark 252 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_252_Z,float,"Face/Iris landmark 252 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_253_X,float,Face/Iris landmark 253 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_253_Y,float,Face/Iris landmark 253 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_253_Z,float,"Face/Iris landmark 253 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_254_X,float,Face/Iris landmark 254 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_254_Y,float,Face/Iris landmark 254 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_254_Z,float,"Face/Iris landmark 254 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_255_X,float,Face/Iris landmark 255 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_255_Y,float,Face/Iris landmark 255 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_255_Z,float,"Face/Iris landmark 255 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_256_X,float,Face/Iris landmark 256 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_256_Y,float,Face/Iris landmark 256 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_256_Z,float,"Face/Iris landmark 256 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_257_X,float,Face/Iris landmark 257 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_257_Y,float,Face/Iris landmark 257 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_257_Z,float,"Face/Iris landmark 257 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_258_X,float,Face/Iris landmark 258 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_258_Y,float,Face/Iris landmark 258 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_258_Z,float,"Face/Iris landmark 258 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_259_X,float,Face/Iris landmark 259 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_259_Y,float,Face/Iris landmark 259 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_259_Z,float,"Face/Iris landmark 259 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_260_X,float,Face/Iris landmark 260 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_260_Y,float,Face/Iris landmark 260 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_260_Z,float,"Face/Iris landmark 260 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_261_X,float,Face/Iris landmark 261 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_261_Y,float,Face/Iris landmark 261 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_261_Z,float,"Face/Iris landmark 261 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_262_X,float,Face/Iris landmark 262 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_262_Y,float,Face/Iris landmark 262 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_262_Z,float,"Face/Iris landmark 262 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_263_X,float,Face/Iris landmark 263 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_263_Y,float,Face/Iris landmark 263 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_263_Z,float,"Face/Iris landmark 263 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_264_X,float,Face/Iris landmark 264 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_264_Y,float,Face/Iris landmark 264 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_264_Z,float,"Face/Iris landmark 264 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_265_X,float,Face/Iris landmark 265 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_265_Y,float,Face/Iris landmark 265 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_265_Z,float,"Face/Iris landmark 265 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_266_X,float,Face/Iris landmark 266 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_266_Y,float,Face/Iris landmark 266 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_266_Z,float,"Face/Iris landmark 266 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_267_X,float,Face/Iris landmark 267 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_267_Y,float,Face/Iris landmark 267 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_267_Z,float,"Face/Iris landmark 267 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_268_X,float,Face/Iris landmark 268 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_268_Y,float,Face/Iris landmark 268 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_268_Z,float,"Face/Iris landmark 268 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_269_X,float,Face/Iris landmark 269 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_269_Y,float,Face/Iris landmark 269 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_269_Z,float,"Face/Iris landmark 269 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_270_X,float,Face/Iris landmark 270 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_270_Y,float,Face/Iris landmark 270 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_270_Z,float,"Face/Iris landmark 270 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_271_X,float,Face/Iris landmark 271 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_271_Y,float,Face/Iris landmark 271 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_271_Z,float,"Face/Iris landmark 271 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_272_X,float,Face/Iris landmark 272 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_272_Y,float,Face/Iris landmark 272 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_272_Z,float,"Face/Iris landmark 272 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_273_X,float,Face/Iris landmark 273 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_273_Y,float,Face/Iris landmark 273 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_273_Z,float,"Face/Iris landmark 273 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_274_X,float,Face/Iris landmark 274 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_274_Y,float,Face/Iris landmark 274 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_274_Z,float,"Face/Iris landmark 274 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_275_X,float,Face/Iris landmark 275 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_275_Y,float,Face/Iris landmark 275 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_275_Z,float,"Face/Iris landmark 275 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_276_X,float,Face/Iris landmark 276 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_276_Y,float,Face/Iris landmark 276 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_276_Z,float,"Face/Iris landmark 276 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_277_X,float,Face/Iris landmark 277 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_277_Y,float,Face/Iris landmark 277 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_277_Z,float,"Face/Iris landmark 277 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_278_X,float,Face/Iris landmark 278 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_278_Y,float,Face/Iris landmark 278 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_278_Z,float,"Face/Iris landmark 278 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_279_X,float,Face/Iris landmark 279 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_279_Y,float,Face/Iris landmark 279 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_279_Z,float,"Face/Iris landmark 279 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_280_X,float,Face/Iris landmark 280 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_280_Y,float,Face/Iris landmark 280 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_280_Z,float,"Face/Iris landmark 280 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_281_X,float,Face/Iris landmark 281 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_281_Y,float,Face/Iris landmark 281 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_281_Z,float,"Face/Iris landmark 281 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_282_X,float,Face/Iris landmark 282 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_282_Y,float,Face/Iris landmark 282 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_282_Z,float,"Face/Iris landmark 282 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_283_X,float,Face/Iris landmark 283 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_283_Y,float,Face/Iris landmark 283 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_283_Z,float,"Face/Iris landmark 283 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_284_X,float,Face/Iris landmark 284 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_284_Y,float,Face/Iris landmark 284 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_284_Z,float,"Face/Iris landmark 284 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_285_X,float,Face/Iris landmark 285 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_285_Y,float,Face/Iris landmark 285 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_285_Z,float,"Face/Iris landmark 285 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_286_X,float,Face/Iris landmark 286 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_286_Y,float,Face/Iris landmark 286 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_286_Z,float,"Face/Iris landmark 286 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_287_X,float,Face/Iris landmark 287 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_287_Y,float,Face/Iris landmark 287 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_287_Z,float,"Face/Iris landmark 287 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_288_X,float,Face/Iris landmark 288 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_288_Y,float,Face/Iris landmark 288 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_288_Z,float,"Face/Iris landmark 288 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_289_X,float,Face/Iris landmark 289 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_289_Y,float,Face/Iris landmark 289 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_289_Z,float,"Face/Iris landmark 289 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_290_X,float,Face/Iris landmark 290 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_290_Y,float,Face/Iris landmark 290 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_290_Z,float,"Face/Iris landmark 290 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_291_X,float,Face/Iris landmark 291 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_291_Y,float,Face/Iris landmark 291 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_291_Z,float,"Face/Iris landmark 291 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
