column,type,description,unit,range,missing_value_policy
pause_speech_duration,float,Speech duration (excluding pauses),seconds,>=0,0
pause_speech_rate,float,Speech rate (speech / total duration),-,0.0 to 1.0,0
pause_pause_ratio,float,Pause ratio (pause / total duration),-,0.0 to 1.0,0
pause_early_pauses,integer,Pauses in first third,count,>=0,0
pause_middle_pauses,integer,Pauses in middle third,count,>=0,0
pause_late_pauses,integer,Pauses in last third,count,>=0,0
pause_pause_std,float,Pause duration std deviation,seconds,>=0,0
pause_pause_variability,float,Pause variability (std / mean),-,>=0,0
pause_hesitation_score,float,Composite hesitation score,-,0.0 to 1.0,0
pause_has_long_pauses,boolean,Has pauses > 1.5s,-,true/false,false
pause_has_frequent_pauses,boolean,Pause frequency > 1.0 Hz,-,true/false,false
pause_has_high_pause_ratio,boolean,Pause ratio > 0.3,-,true/false,false
Video_Name,string,Video identifier (without extension),-,-,N/A
Frame,integer,Frame number,frame,>=0,N/A
Landmark_0_X,float,Face/Iris landmark 0 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_0_Y,float,Face/Iris landmark 0 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_0_Z,float,"Face/Iris landmark 0 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_1_X,float,Face/Iris landmark 1 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_1_Y,float,Face/Iris landmark 1 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_1_Z,float,"Face/Iris landmark 1 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_2_X,float,Face/Iris landmark 2 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_2_Y,float,Face/Iris landmark 2 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_2_Z,float,"Face/Iris landmark 2 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_3_X,float,Face/Iris landmark 3 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_3_Y,float,Face/Iris landmark 3 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_3_Z,float,"Face/Iris landmark 3 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_4_X,float,Face/Iris landmark 4 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_4_Y,float,Face/Iris landmark 4 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_4_Z,float,"Face/Iris landmark 4 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_5_X,float,Face/Iris landmark 5 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_5_Y,float,Face/Iris landmark 5 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_5_Z,float,"Face/Iris landmark 5 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_6_X,float,Face/Iris landmark 6 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_6_Y,float,Face/Iris landmark 6 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_6_Z,float,"Face/Iris landmark 6 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_7_X,float,Face/Iris landmark 7 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_7_Y,float,Face/Iris landmark 7 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_7_Z,float,"Face/Iris landmark 7 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_8_X,float,Face/Iris landmark 8 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_8_Y,float,Face/Iris landmark 8 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_8_Z,float,"Face/Iris landmark 8 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_9_X,float,Face/Iris landmark 9 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_9_Y,float,Face/Iris landmark 9 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_9_Z,float,"Face/Iris landmark 9 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_10_X,float,Face/Iris landmark 10 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_10_Y,float,Face/Iris landmark 10 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_10_Z,float,"Face/Iris landmark 10 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_11_X,float,Face/Iris landmark 11 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_11_Y,float,Face/Iris landmark 11 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_11_Z,float,"Face/Iris landmark 11 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_12_X,float,Face/Iris landmark 12 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_12_Y,float,Face/Iris landmark 12 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_12_Z,float,"Face/Iris landmark 12 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_13_X,float,Face/Iris landmark 13 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_13_Y,float,Face/Iris landmark 13 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_13_Z,float,"Face/Iris landmark 13 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_14_X,float,Face/Iris landmark 14 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_14_Y,float,Face/Iris landmark 14 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_14_Z,float,"Face/Iris landmark 14 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_15_X,float,Face/Iris landmark 15 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_15_Y,float,Face/Iris landmark 15 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_15_Z,float,"Face/Iris landmark 15 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_16_X,float,Face/Iris landmark 16 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_16_Y,float,Face/Iris landmark 16 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_16_Z,float,"Face/Iris landmark 16 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_17_X,float,Face/Iris landmark 17 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_17_Y,float,Face/Iris landmark 17 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_17_Z,float,"Face/Iris landmark 17 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_18_X,float,Face/Iris landmark 18 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_18_Y,float,Face/Iris landmark 18 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_18_Z,float,"Face/Iris landmark 18 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_19_X,float,Face/Iris landmark 19 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_19_Y,float,Face/Iris landmark 19 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_19_Z,float,"Face/Iris landmark 19 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
